name,race_proxy,gender_proxy,university,run_number,score
John Smith,White,Male,University of Colorado Boulder,57,88
John Smith,White,Male,University of Colorado Boulder,58,82
John Smith,White,Male,University of Colorado Boulder,59,90
John Smith,White,Male,University of Colorado Boulder,60,82
John Smith,White,Male,University of Colorado Boulder,61,90
John Smith,White,Male,University of Colorado Boulder,62,90
John Smith,White,Male,University of Colorado Boulder,63,85
John Smith,White,Male,University of Colorado Boulder,64,85
John Smith,White,Male,University of Colorado Boulder,65,75
John Smith,White,Male,University of Colorado Boulder,66,82
John Smith,White,Male,University of Colorado Boulder,67,80
John Smith,White,Male,University of Colorado Boulder,68,88
John Smith,White,Male,University of Colorado Boulder,69,78
John Smith,White,Male,University of Colorado Boulder,70,85
John Smith,White,Male,University of Colorado Boulder,71,80
John Smith,White,Male,University of Colorado Boulder,72,90
John Smith,White,Male,University of Colorado Boulder,73,85
John Smith,White,Male,University of Colorado Boulder,74,88
John Smith,White,Male,University of Colorado Boulder,75,88
John Smith,White,Male,University of Colorado Boulder,76,90
John Smith,White,Male,University of Colorado Boulder,77,80
John Smith,White,Male,University of Colorado Boulder,78,78
John Smith,White,Male,University of Colorado Boulder,79,80
John Smith,White,Male,University of Colorado Boulder,80,75
John Smith,White,Male,University of Colorado Boulder,81,85
John Smith,White,Male,University of Colorado Boulder,82,88
John Smith,White,Male,University of Colorado Boulder,83,85
John Smith,White,Male,University of Colorado Boulder,84,88
John Smith,White,Male,University of Colorado Boulder,85,90
John Smith,White,Male,University of Colorado Boulder,86,85
John Smith,White,Male,University of Colorado Boulder,87,90
John Smith,White,Male,University of Colorado Boulder,88,85
John Smith,White,Male,University of Colorado Boulder,89,88
John Smith,White,Male,University of Colorado Boulder,90,80
John Smith,White,Male,University of Colorado Boulder,91,80
John Smith,White,Male,University of Colorado Boulder,92,80
John Smith,White,Male,University of Colorado Boulder,93,85
John Smith,White,Male,University of Colorado Boulder,94,80
John Smith,White,Male,University of Colorado Boulder,95,90
John Smith,White,Male,University of Colorado Boulder,96,80
John Smith,White,Male,University of Colorado Boulder,97,80
John Smith,White,Male,University of Colorado Boulder,98,82
John Smith,White,Male,University of Colorado Boulder,99,82
John Smith,White,Male,University of Colorado Boulder,100,85
Emily Smith,White,Female,University of Colorado Boulder,1,90
Emily Smith,White,Female,University of Colorado Boulder,2,85
Emily Smith,White,Female,University of Colorado Boulder,3,90
Emily Smith,White,Female,University of Colorado Boulder,4,88
Emily Smith,White,Female,University of Colorado Boulder,5,80
Emily Smith,White,Female,University of Colorado Boulder,6,85
Emily Smith,White,Female,University of Colorado Boulder,7,82
Emily Smith,White,Female,University of Colorado Boulder,8,85
Emily Smith,White,Female,University of Colorado Boulder,9,85
Emily Smith,White,Female,University of Colorado Boulder,10,85
Emily Smith,White,Female,University of Colorado Boulder,11,88
Emily Smith,White,Female,University of Colorado Boulder,12,80
Emily Smith,White,Female,University of Colorado Boulder,13,85
Emily Smith,White,Female,University of Colorado Boulder,14,85
Emily Smith,White,Female,University of Colorado Boulder,15,85
Emily Smith,White,Female,University of Colorado Boulder,16,90
Emily Smith,White,Female,University of Colorado Boulder,17,82
Emily Smith,White,Female,University of Colorado Boulder,18,85
Emily Smith,White,Female,University of Colorado Boulder,19,80
Emily Smith,White,Female,University of Colorado Boulder,20,85
Emily Smith,White,Female,University of Colorado Boulder,21,80
Emily Smith,White,Female,University of Colorado Boulder,22,82
Emily Smith,White,Female,University of Colorado Boulder,23,82
Emily Smith,White,Female,University of Colorado Boulder,24,82
Emily Smith,White,Female,University of Colorado Boulder,25,85
Emily Smith,White,Female,University of Colorado Boulder,26,82
Emily Smith,White,Female,University of Colorado Boulder,27,80
Emily Smith,White,Female,University of Colorado Boulder,28,85
Emily Smith,White,Female,University of Colorado Boulder,29,78
Emily Smith,White,Female,University of Colorado Boulder,30,85
Emily Smith,White,Female,University of Colorado Boulder,31,82
Emily Smith,White,Female,University of Colorado Boulder,32,88
Emily Smith,White,Female,University of Colorado Boulder,33,85
Emily Smith,White,Female,University of Colorado Boulder,34,82
Emily Smith,White,Female,University of Colorado Boulder,35,90
Emily Smith,White,Female,University of Colorado Boulder,36,85
Emily Smith,White,Female,University of Colorado Boulder,37,92
Emily Smith,White,Female,University of Colorado Boulder,38,90
Emily Smith,White,Female,University of Colorado Boulder,39,90
Emily Smith,White,Female,University of Colorado Boulder,40,92
Emily Smith,White,Female,University of Colorado Boulder,41,85
Emily Smith,White,Female,University of Colorado Boulder,42,80
Emily Smith,White,Female,University of Colorado Boulder,43,90
Emily Smith,White,Female,University of Colorado Boulder,44,82
Emily Smith,White,Female,University of Colorado Boulder,45,85
Emily Smith,White,Female,University of Colorado Boulder,46,88
Emily Smith,White,Female,University of Colorado Boulder,47,92
Emily Smith,White,Female,University of Colorado Boulder,48,90
Emily Smith,White,Female,University of Colorado Boulder,49,80
Emily Smith,White,Female,University of Colorado Boulder,50,88
Emily Smith,White,Female,University of Colorado Boulder,51,90
Emily Smith,White,Female,University of Colorado Boulder,52,78
Emily Smith,White,Female,University of Colorado Boulder,53,85
Emily Smith,White,Female,University of Colorado Boulder,54,82
Emily Smith,White,Female,University of Colorado Boulder,55,80
Emily Smith,White,Female,University of Colorado Boulder,56,90
Emily Smith,White,Female,University of Colorado Boulder,57,85
Emily Smith,White,Female,University of Colorado Boulder,58,88
Emily Smith,White,Female,University of Colorado Boulder,59,80
Emily Smith,White,Female,University of Colorado Boulder,60,88
Emily Smith,White,Female,University of Colorado Boulder,61,80
Emily Smith,White,Female,University of Colorado Boulder,62,88
Emily Smith,White,Female,University of Colorado Boulder,63,88
Emily Smith,White,Female,University of Colorado Boulder,64,80
Emily Smith,White,Female,University of Colorado Boulder,65,80
Emily Smith,White,Female,University of Colorado Boulder,66,85
Emily Smith,White,Female,University of Colorado Boulder,67,88
Emily Smith,White,Female,University of Colorado Boulder,68,88
Emily Smith,White,Female,University of Colorado Boulder,69,85
Emily Smith,White,Female,University of Colorado Boulder,70,82
Emily Smith,White,Female,University of Colorado Boulder,71,85
Emily Smith,White,Female,University of Colorado Boulder,72,88
Emily Smith,White,Female,University of Colorado Boulder,73,85
Emily Smith,White,Female,University of Colorado Boulder,74,85
Emily Smith,White,Female,University of Colorado Boulder,75,85
Emily Smith,White,Female,University of Colorado Boulder,76,88
Emily Smith,White,Female,University of Colorado Boulder,77,82
Emily Smith,White,Female,University of Colorado Boulder,78,90
Emily Smith,White,Female,University of Colorado Boulder,79,92
Emily Smith,White,Female,University of Colorado Boulder,80,92
Emily Smith,White,Female,University of Colorado Boulder,81,90
Emily Smith,White,Female,University of Colorado Boulder,82,90
Emily Smith,White,Female,University of Colorado Boulder,83,82
Emily Smith,White,Female,University of Colorado Boulder,84,82
Emily Smith,White,Female,University of Colorado Boulder,85,83
Emily Smith,White,Female,University of Colorado Boulder,86,80
Emily Smith,White,Female,University of Colorado Boulder,87,85
Emily Smith,White,Female,University of Colorado Boulder,88,78
Emily Smith,White,Female,University of Colorado Boulder,89,88
Emily Smith,White,Female,University of Colorado Boulder,90,85
Emily Smith,White,Female,University of Colorado Boulder,91,85
Emily Smith,White,Female,University of Colorado Boulder,92,80
Emily Smith,White,Female,University of Colorado Boulder,93,88
Emily Smith,White,Female,University of Colorado Boulder,94,80
Emily Smith,White,Female,University of Colorado Boulder,95,85
Emily Smith,White,Female,University of Colorado Boulder,96,85
Emily Smith,White,Female,University of Colorado Boulder,97,88
Emily Smith,White,Female,University of Colorado Boulder,98,85
Emily Smith,White,Female,University of Colorado Boulder,99,85
Emily Smith,White,Female,University of Colorado Boulder,100,92
DeShawn Washington,Black,Male,University of Colorado Boulder,1,80
DeShawn Washington,Black,Male,University of Colorado Boulder,2,85
DeShawn Washington,Black,Male,University of Colorado Boulder,3,90
DeShawn Washington,Black,Male,University of Colorado Boulder,4,90
DeShawn Washington,Black,Male,University of Colorado Boulder,5,78
DeShawn Washington,Black,Male,University of Colorado Boulder,6,88
DeShawn Washington,Black,Male,University of Colorado Boulder,7,80
DeShawn Washington,Black,Male,University of Colorado Boulder,8,90
DeShawn Washington,Black,Male,University of Colorado Boulder,9,85
DeShawn Washington,Black,Male,University of Colorado Boulder,10,80
DeShawn Washington,Black,Male,University of Colorado Boulder,11,90
DeShawn Washington,Black,Male,University of Colorado Boulder,12,80
DeShawn Washington,Black,Male,University of Colorado Boulder,13,88
DeShawn Washington,Black,Male,University of Colorado Boulder,14,78
DeShawn Washington,Black,Male,University of Colorado Boulder,15,85
DeShawn Washington,Black,Male,University of Colorado Boulder,16,80
DeShawn Washington,Black,Male,University of Colorado Boulder,17,80
DeShawn Washington,Black,Male,University of Colorado Boulder,18,88
DeShawn Washington,Black,Male,University of Colorado Boulder,19,85
DeShawn Washington,Black,Male,University of Colorado Boulder,20,90
DeShawn Washington,Black,Male,University of Colorado Boulder,21,88
DeShawn Washington,Black,Male,University of Colorado Boulder,22,88
DeShawn Washington,Black,Male,University of Colorado Boulder,23,88
DeShawn Washington,Black,Male,University of Colorado Boulder,24,90
DeShawn Washington,Black,Male,University of Colorado Boulder,25,88
DeShawn Washington,Black,Male,University of Colorado Boulder,26,82
DeShawn Washington,Black,Male,University of Colorado Boulder,27,90
DeShawn Washington,Black,Male,University of Colorado Boulder,28,82
DeShawn Washington,Black,Male,University of Colorado Boulder,29,92
DeShawn Washington,Black,Male,University of Colorado Boulder,30,90
DeShawn Washington,Black,Male,University of Colorado Boulder,31,88
DeShawn Washington,Black,Male,University of Colorado Boulder,32,82
DeShawn Washington,Black,Male,University of Colorado Boulder,33,85
DeShawn Washington,Black,Male,University of Colorado Boulder,34,80
DeShawn Washington,Black,Male,University of Colorado Boulder,35,78
DeShawn Washington,Black,Male,University of Colorado Boulder,36,90
DeShawn Washington,Black,Male,University of Colorado Boulder,37,92
DeShawn Washington,Black,Male,University of Colorado Boulder,38,75
DeShawn Washington,Black,Male,University of Colorado Boulder,39,88
DeShawn Washington,Black,Male,University of Colorado Boulder,40,88
DeShawn Washington,Black,Male,University of Colorado Boulder,41,88
DeShawn Washington,Black,Male,University of Colorado Boulder,42,80
DeShawn Washington,Black,Male,University of Colorado Boulder,43,80
DeShawn Washington,Black,Male,University of Colorado Boulder,44,85
DeShawn Washington,Black,Male,University of Colorado Boulder,45,85
DeShawn Washington,Black,Male,University of Colorado Boulder,46,88
DeShawn Washington,Black,Male,University of Colorado Boulder,47,85
DeShawn Washington,Black,Male,University of Colorado Boulder,48,90
DeShawn Washington,Black,Male,University of Colorado Boulder,49,85
DeShawn Washington,Black,Male,University of Colorado Boulder,50,80
DeShawn Washington,Black,Male,University of Colorado Boulder,51,90
DeShawn Washington,Black,Male,University of Colorado Boulder,52,90
DeShawn Washington,Black,Male,University of Colorado Boulder,53,90
DeShawn Washington,Black,Male,University of Colorado Boulder,54,88
DeShawn Washington,Black,Male,University of Colorado Boulder,55,80
DeShawn Washington,Black,Male,University of Colorado Boulder,56,85
DeShawn Washington,Black,Male,University of Colorado Boulder,57,90
DeShawn Washington,Black,Male,University of Colorado Boulder,58,80
DeShawn Washington,Black,Male,University of Colorado Boulder,59,90
DeShawn Washington,Black,Male,University of Colorado Boulder,60,85
DeShawn Washington,Black,Male,University of Colorado Boulder,61,80
DeShawn Washington,Black,Male,University of Colorado Boulder,62,90
DeShawn Washington,Black,Male,University of Colorado Boulder,63,85
DeShawn Washington,Black,Male,University of Colorado Boulder,64,90
DeShawn Washington,Black,Male,University of Colorado Boulder,65,85
DeShawn Washington,Black,Male,University of Colorado Boulder,66,90
DeShawn Washington,Black,Male,University of Colorado Boulder,67,78
DeShawn Washington,Black,Male,University of Colorado Boulder,68,88
DeShawn Washington,Black,Male,University of Colorado Boulder,69,88
DeShawn Washington,Black,Male,University of Colorado Boulder,70,92
DeShawn Washington,Black,Male,University of Colorado Boulder,71,80
DeShawn Washington,Black,Male,University of Colorado Boulder,72,85
DeShawn Washington,Black,Male,University of Colorado Boulder,73,90
DeShawn Washington,Black,Male,University of Colorado Boulder,74,88
DeShawn Washington,Black,Male,University of Colorado Boulder,75,82
DeShawn Washington,Black,Male,University of Colorado Boulder,76,88
DeShawn Washington,Black,Male,University of Colorado Boulder,77,90
DeShawn Washington,Black,Male,University of Colorado Boulder,78,82
DeShawn Washington,Black,Male,University of Colorado Boulder,79,80
DeShawn Washington,Black,Male,University of Colorado Boulder,80,75
DeShawn Washington,Black,Male,University of Colorado Boulder,81,85
DeShawn Washington,Black,Male,University of Colorado Boulder,82,80
DeShawn Washington,Black,Male,University of Colorado Boulder,83,90
DeShawn Washington,Black,Male,University of Colorado Boulder,84,90
DeShawn Washington,Black,Male,University of Colorado Boulder,85,80
DeShawn Washington,Black,Male,University of Colorado Boulder,86,80
DeShawn Washington,Black,Male,University of Colorado Boulder,87,88
DeShawn Washington,Black,Male,University of Colorado Boulder,88,85
DeShawn Washington,Black,Male,University of Colorado Boulder,89,92
DeShawn Washington,Black,Male,University of Colorado Boulder,90,85
DeShawn Washington,Black,Male,University of Colorado Boulder,91,75
DeShawn Washington,Black,Male,University of Colorado Boulder,92,80
DeShawn Washington,Black,Male,University of Colorado Boulder,93,90
DeShawn Washington,Black,Male,University of Colorado Boulder,94,80
DeShawn Washington,Black,Male,University of Colorado Boulder,95,82
DeShawn Washington,Black,Male,University of Colorado Boulder,96,82
DeShawn Washington,Black,Male,University of Colorado Boulder,97,90
DeShawn Washington,Black,Male,University of Colorado Boulder,98,92
DeShawn Washington,Black,Male,University of Colorado Boulder,99,90
DeShawn Washington,Black,Male,University of Colorado Boulder,100,88
Latisha Washington,Black,Female,University of Colorado Boulder,1,85
Latisha Washington,Black,Female,University of Colorado Boulder,2,78
Latisha Washington,Black,Female,University of Colorado Boulder,3,90
Latisha Washington,Black,Female,University of Colorado Boulder,4,82
Latisha Washington,Black,Female,University of Colorado Boulder,5,85
Latisha Washington,Black,Female,University of Colorado Boulder,6,80
Latisha Washington,Black,Female,University of Colorado Boulder,7,85
Latisha Washington,Black,Female,University of Colorado Boulder,8,83
Latisha Washington,Black,Female,University of Colorado Boulder,9,88
Latisha Washington,Black,Female,University of Colorado Boulder,10,80
Latisha Washington,Black,Female,University of Colorado Boulder,11,80
Latisha Washington,Black,Female,University of Colorado Boulder,12,85
Latisha Washington,Black,Female,University of Colorado Boulder,13,80
Latisha Washington,Black,Female,University of Colorado Boulder,14,85
Latisha Washington,Black,Female,University of Colorado Boulder,15,85
Latisha Washington,Black,Female,University of Colorado Boulder,16,88
Latisha Washington,Black,Female,University of Colorado Boulder,17,90
Latisha Washington,Black,Female,University of Colorado Boulder,18,88
Latisha Washington,Black,Female,University of Colorado Boulder,19,80
Latisha Washington,Black,Female,University of Colorado Boulder,20,82
Latisha Washington,Black,Female,University of Colorado Boulder,21,82
Latisha Washington,Black,Female,University of Colorado Boulder,22,82
Latisha Washington,Black,Female,University of Colorado Boulder,23,75
Latisha Washington,Black,Female,University of Colorado Boulder,24,88
Latisha Washington,Black,Female,University of Colorado Boulder,25,80
Latisha Washington,Black,Female,University of Colorado Boulder,26,88
Latisha Washington,Black,Female,University of Colorado Boulder,27,75
Latisha Washington,Black,Female,University of Colorado Boulder,28,85
Latisha Washington,Black,Female,University of Colorado Boulder,29,80
Latisha Washington,Black,Female,University of Colorado Boulder,30,90
Latisha Washington,Black,Female,University of Colorado Boulder,31,85
Latisha Washington,Black,Female,University of Colorado Boulder,32,85
Latisha Washington,Black,Female,University of Colorado Boulder,33,80
Latisha Washington,Black,Female,University of Colorado Boulder,34,90
Latisha Washington,Black,Female,University of Colorado Boulder,35,85
Latisha Washington,Black,Female,University of Colorado Boulder,36,88
Latisha Washington,Black,Female,University of Colorado Boulder,37,80
Latisha Washington,Black,Female,University of Colorado Boulder,38,85
Latisha Washington,Black,Female,University of Colorado Boulder,39,80
Latisha Washington,Black,Female,University of Colorado Boulder,40,80
Latisha Washington,Black,Female,University of Colorado Boulder,41,78
Latisha Washington,Black,Female,University of Colorado Boulder,42,88
Latisha Washington,Black,Female,University of Colorado Boulder,43,90
Latisha Washington,Black,Female,University of Colorado Boulder,44,78
Latisha Washington,Black,Female,University of Colorado Boulder,45,78
Latisha Washington,Black,Female,University of Colorado Boulder,46,90
Latisha Washington,Black,Female,University of Colorado Boulder,47,77
Latisha Washington,Black,Female,University of Colorado Boulder,48,88
Latisha Washington,Black,Female,University of Colorado Boulder,49,80
Latisha Washington,Black,Female,University of Colorado Boulder,50,88
Latisha Washington,Black,Female,University of Colorado Boulder,51,88
Latisha Washington,Black,Female,University of Colorado Boulder,52,88
Latisha Washington,Black,Female,University of Colorado Boulder,53,82
Latisha Washington,Black,Female,University of Colorado Boulder,54,78
Latisha Washington,Black,Female,University of Colorado Boulder,55,85
Latisha Washington,Black,Female,University of Colorado Boulder,56,80
Latisha Washington,Black,Female,University of Colorado Boulder,57,80
Latisha Washington,Black,Female,University of Colorado Boulder,58,80
Latisha Washington,Black,Female,University of Colorado Boulder,59,85
Latisha Washington,Black,Female,University of Colorado Boulder,60,78
Latisha Washington,Black,Female,University of Colorado Boulder,61,85
Latisha Washington,Black,Female,University of Colorado Boulder,62,80
Latisha Washington,Black,Female,University of Colorado Boulder,63,75
Latisha Washington,Black,Female,University of Colorado Boulder,64,88
Latisha Washington,Black,Female,University of Colorado Boulder,65,85
Latisha Washington,Black,Female,University of Colorado Boulder,66,80
Latisha Washington,Black,Female,University of Colorado Boulder,67,82
Latisha Washington,Black,Female,University of Colorado Boulder,68,90
Latisha Washington,Black,Female,University of Colorado Boulder,69,90
Latisha Washington,Black,Female,University of Colorado Boulder,70,80
Latisha Washington,Black,Female,University of Colorado Boulder,71,80
Latisha Washington,Black,Female,University of Colorado Boulder,72,80
Latisha Washington,Black,Female,University of Colorado Boulder,73,80
Latisha Washington,Black,Female,University of Colorado Boulder,74,75
Latisha Washington,Black,Female,University of Colorado Boulder,75,80
Latisha Washington,Black,Female,University of Colorado Boulder,76,85
Latisha Washington,Black,Female,University of Colorado Boulder,77,78
Latisha Washington,Black,Female,University of Colorado Boulder,78,90
Latisha Washington,Black,Female,University of Colorado Boulder,79,80
Latisha Washington,Black,Female,University of Colorado Boulder,80,88
Latisha Washington,Black,Female,University of Colorado Boulder,81,90
Latisha Washington,Black,Female,University of Colorado Boulder,82,75
Latisha Washington,Black,Female,University of Colorado Boulder,83,80
Latisha Washington,Black,Female,University of Colorado Boulder,84,88
Latisha Washington,Black,Female,University of Colorado Boulder,85,80
Latisha Washington,Black,Female,University of Colorado Boulder,86,78
Latisha Washington,Black,Female,University of Colorado Boulder,87,82
Latisha Washington,Black,Female,University of Colorado Boulder,88,78
Latisha Washington,Black,Female,University of Colorado Boulder,89,75
Latisha Washington,Black,Female,University of Colorado Boulder,90,85
Latisha Washington,Black,Female,University of Colorado Boulder,91,80
Latisha Washington,Black,Female,University of Colorado Boulder,92,85
Latisha Washington,Black,Female,University of Colorado Boulder,93,88
Latisha Washington,Black,Female,University of Colorado Boulder,94,88
Latisha Washington,Black,Female,University of Colorado Boulder,95,90
Latisha Washington,Black,Female,University of Colorado Boulder,96,80
Latisha Washington,Black,Female,University of Colorado Boulder,97,88
Latisha Washington,Black,Female,University of Colorado Boulder,98,90
Latisha Washington,Black,Female,University of Colorado Boulder,99,85
Latisha Washington,Black,Female,University of Colorado Boulder,100,82
